2021-01-08,8 de enero,viernes,9:00,como siempre,"celu",""
2021-01-07,7 de enero,jueves,18:01,Pos bien,"",""
2021-01-07,7 de enero,jueves,12:30,como siempre,"celu",""
2021-01-07,7 de enero,jueves,9:36,como siempre,"Leyendo",""
2021-01-06,6 de enero,miércoles,19:58,Pos bien,"buena comida",""
2021-01-06,6 de enero,miércoles,12:41,ansioso,"",""
2021-01-06,6 de enero,miércoles,9:50,Pos bien,"Leyendo",""
2021-01-05,5 de enero,martes,19:22,como siempre,"juegos | deporte",""
2021-01-05,5 de enero,martes,12:32,como siempre,"Leyendo",""
2021-01-05,5 de enero,martes,9:01,Pos bien,"",""
2021-01-04,4 de enero,lunes,18:16,como siempre,"PC",""
2021-01-04,4 de enero,lunes,12:47,como siempre,"",""
2021-01-04,4 de enero,lunes,9:00,como siempre,"",""
2021-01-03,3 de enero,domingo,18:22,mal,"",""
2021-01-03,3 de enero,domingo,12:39,como siempre,"",""
2021-01-03,3 de enero,domingo,9:08,como siempre,"PC",""
2021-01-02,2 de enero,sábado,18:00,como siempre,"Programando",""
2021-01-02,2 de enero,sábado,12:35,Pos bien,"PC",""
2021-01-02,2 de enero,sábado,9:53,Pos bien,"musica",""
2021-01-01,1 de enero,viernes,19:01,Pos bien,"PC",""
2020-12-31,31 de diciembre,jueves,21:40,como siempre,"Estudiando",""
